;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
Quem é o treinador da equipe de hockey no gelo de Ankara?;226705717;204239079;214582988;251850947;205515625;222864992;401420083;395738658;241494005;235337122;708670344;699697245;307108138;289265920;1080130270;1119022658;275701864;277639789;1758506182;1633325405;359608377;348264842;3899894604;3598231812;404430526;420134497;7634952157;7618752800;431357092;437610185;29050242425;21553442932;450250818;451560747;0;43158593488;469437900;448638922;0;0;569477382;522889013;0;0
Quem é o prefeito da capital da Polinésia Francessa?;238373354;249993459;294561356;264885548;228828921;249493250;437985642;337869952;236283855;276867467;724858544;578681906;272078386;257850945;1227585814;1029863052;296390574;255268398;1827605473;1451909681;320988475;300861244;3814219067;2453920322;322542526;306956732;9254928133;5889316423;334714932;340192731;32622670719;13374449927;366450658;353009282;0;29632063434;381753873;350160531;0;40287358437;411389546;453949053;0;0
Que prêmios Douglas Hofstadter ganhou?;84336864;90525936;102066312;106608322;103242483;114821001;261791521;266958319;109925017;114393472;405754536;396632739;120494640;107792750;446642014;394599137;116565041;108573165;428543266;382804176;119767239;120723341;422564543;391558180;98091629;120385504;409604556;373590643;109145281;99603887;407693881;396709463;116161434;121159973;397503436;392300804;105683967;115814870;411801432;404497341;102389283;107666529;416447464;397776393
Quanto custou The Lego Movie?;170079956;183411558;206452909;204344034;194576846;199069748;353124557;327812897;202454590;201103752;672306526;662663928;235009172;220295688;1048543716;1007298197;235087241;242276209;1538113192;1547978483;287131053;292566239;3341958025;3188640007;298962739;315565646;7581907520;5679735958;310530064;328261449;31186264843;11924171445;324024032;339565690;0;27945715783;337279401;390359510;0;0;354337866;370724873;0;0
Onde começa a Piccadilly?;67472085;75201961;92529027;97899027;85244469;82544831;294061239;194162099;84588686;78678332;536894761;323906324;87478973;77884507;1163397520;513853160;85744984;91110910;1877453810;742749118;100411751;101505126;4288162754;993943998;119728551;115615606;8318550748;1342905571;122495048;120247128;12234581681;2898292445;126574271;115227856;11321723791;3818582878;130983007;128849544;11605154554;3860311187;112829177;122231530;11842163446;3911824229
O Príncipe Harry e o Príncipe William têm os mesmos pais?;281334015;284544511;292531201;303076746;298572472;293260108;457437120;304583408;294028917;261855558;769333009;465252381;269008079;308465422;1267202378;1098869088;286863022;303275779;1897115888;1450030217;338308378;338264228;4965356982;3646893346;358430987;368631280;9753601455;7047967440;450540483;457251679;35345528026;35727042418;547022613;518436872;0;0;529083125;523357069;0;0;548641261;554461984;0;0
Quem interpretou o Agente Smith em Matrix?;93430115;102299890;125044539;117347309;110084589;105902660;303558937;254042622;117549667;126044382;658736958;568952353;128682938;131085714;1097685238;1110707375;146902117;148415244;1743877332;1501083997;183329834;173914119;4516127461;4277160751;237607589;250386312;8489839136;7762868194;281255838;270432916;36002336437;18985633535;294583565;270441999;0;33415581759;314274735;307515954;0;112416678271;316653120;415116810;0;0
Quantos idiomas são falados no Turquemenistão?;253983425;283117064;283455021;293506035;289876904;278567273;421750537;418295618;275899379;261425772;802434089;526012719;256350239;280103241;1240115524;864415194;267840028;307398399;1863792484;1289692499;298924500;295400476;3900817638;2119298385;317262911;308341596;8796395549;3373560195;314892098;353182480;37202075085;8728379322;358482891;385722866;0;24868459683;332680445;356134193;0;47268689750;445074450;423530914;0;0
Em que filmes Julia Roberts e Richard Gere atuaram?;214432566;234468903;250614246;240233942;231098367;227181322;428407249;350570235;247833539;268777620;743068208;541348145;268043563;257530340;1286966089;870718582;300991064;290232930;2016368874;1242309471;302403777;310085452;4641755810;3517267341;351129215;357934726;10426690437;7249353849;437229884;437977420;36056091417;25226480215;460623403;486001377;0;43570050310;525669898;562932959;0;0;894802876;613163137;0;0
Em que país nasce o Ganges?;230123946;265499248;274909812;262333261;275830361;258486718;430170249;436085086;273686532;269614587;778578141;761080895;298155594;296252931;1132891798;1177816176;291346912;298504166;1697642455;1642523425;325449876;293253303;4407928869;3237333412;325898180;319403246;9317540801;4425371723;360961505;357570981;37905023981;9278610362;383291920;409212789;0;17101440944;391351482;368641566;0;29104107217;421541256;396822492;0;0
Em que ano nasceu Rachel Stevens?;234178394;232415455;231053779;233659442;249368293;240139462;375298892;404563412;249739917;243456631;668529414;711267203;263024714;243672392;1197700593;1210257447;277248164;326021946;1654765990;1551879154;301762433;308753649;3981238864;3422803074;306724543;300419448;8633577683;5463088838;328727305;311982264;38604616715;12018579412;375148405;399141251;0;30102549361;424346567;394174649;0;33825281980;419666410;432449583;0;0
Barack Obama é um Democrata?;160441335;151453704;144652132;157532568;150565577;156932813;314542786;337889888;169246713;180909333;617015445;631568160;185178127;186660387;1024702261;992277830;197493463;206203080;1480036780;1461247803;275045595;271300514;3608604087;3744322387;297431754;306738336;8213056244;8068231092;362034918;356893416;31650486697;25539049233;405218985;407650995;0;42446445388;426063461;448231846;0;0;574254934;601538782;0;0
Onde nasceu Bach?;135269898;117144078;144678738;154157573;144117505;152233695;301839463;321887403;164843555;149695990;593113451;622985078;180639072;190728529;1005346527;1049105095;201932534;198113637;1493490604;1542409552;283126654;285245623;4231697111;4095887443;329122268;322886318;7996731625;7934947829;434095918;404850127;28722147308;23966677297;410855608;413319569;0;57880331848;438769732;426580897;0;0;467498964;434804316;0;0
Quantas vezes Jane Fonda se casou?;118287352;104692018;129841603;123692763;128358574;119595883;282547629;308822433;147617269;132916982;611643079;604387321;162863419;157439474;1015904565;1069739973;182417699;191259079;1634998282;1516501787;249840069;259311035;4175412459;4010756792;305266105;295137922;7813885060;7664578240;298025904;295133021;34672295867;17749096211;304470191;315189478;0;40199269655;334422717;327812290;0;115372779920;353503213;351940871;0;0
Quem foi o primeiro a escalar o Monte Everest?;93717449;94182220;109482492;121110333;99474533;111587370;295064360;310886807;129908857;123973086;563070805;567376951;143888412;160753914;1143909841;1037740815;178512091;187927374;1708215974;1693543766;225101665;216070279;2721155946;2681153319;192625775;209933222;2821500977;2698861080;234945931;212084570;2723222078;2676880550;211302983;218211071;2801071174;1884147113;195974482;200608062;2841089178;2687761116;229013775;204836811;2715847350;2636004125
Quantas pessoas vivem na Polônia;223614787;212269338;222105846;235210134;242272352;221354815;354708014;284400250;219525350;234685479;695506368;443078113;226794098;227380738;1246517295;638943846;226805501;222215192;1866000112;1148859666;263820998;232656046;4376864349;2012170667;247156543;271116939;9146410381;3731511521;274642191;252445646;37591739111;7986527898;285773192;320653915;0;21707535100;316326101;286774361;0;42400152449;312309811;300226771;0;0
Onde fica o Palácio de Westminster?;78895302;91735791;102229090;101717458;84449002;92574469;144247847;131950785;88941295;91747472;143267544;142257117;87414855;89187126;143240819;147649370;89498421;76810088;140944776;130681296;78308551;85143186;144586462;151038054;83558215;89292391;134402298;141109468;88709913;85801528;144836586;140123394;86624273;80241114;143837699;148928708;78685416;89604743;139145308;158598639;93197079;87372743;142024025;146195134
Christian Bale atua em Batman Begins?;94137177;89425501;109837522;111007058;111655735;119131855;316375461;230241371;122209185;120236320;582466486;544979676;137920636;132656627;1145667652;1058239602;160243861;161203811;1689955052;1536770898;198097773;200051616;4511173232;4611126713;270966660;279494990;9103270826;8468049579;379587931;333377761;33774545564;33044791690;404113333;376210302;0;73178150094;365255972;407087952;0;0;395456506;420149848;0;0
Em que país fica o Lago Limerick?;251521346;247625002;271467087;257734672;244897512;252385756;394429667;349229608;258459645;247102156;702267516;455518017;263462660;262299107;1158035832;769002205;262938440;260988681;1711672418;1138393526;268018597;268854238;3863292341;1808654230;302637091;280689114;8138876986;3224632304;317776421;295559119;30450074400;13400334000;312580889;338667058;0;38152581955;397982222;360642404;0;103366258198;368103079;398638206;0;0
Qual foi o último filme de Alec Guinness?;387041256;340949347;348873499;387031689;392329204;369935886;527530625;501680456;389391366;373030848;757925274;792916123;410481310;416969054;1211087567;1207265220;418640344;425128142;1750765421;1769882384;398120515;404714037;4385187670;3297894908;462116407;456530460;9494905489;5818875248;463376311;473980950;34792649096;24527734971;668254251;669937095;0;0;791557376;822155005;0;0;1228072452;1160456432;0;0
Qual a montanha mais alta da Austrália?;253801344;227661529;275899525;247605549;251216445;245093394;424370646;319933223;238281239;241963066;755001548;648296632;260066138;281916611;1160858145;1132844209;256494035;281633617;1647672548;1660246867;264257748;288577415;4349728459;4059332559;293251657;296438426;8253142845;7728508024;367147237;325330361;35087387261;35404558898;400665106;401844524;0;0;540762291;544014342;0;0;768526959;779207582;0;0
